Analyte,CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)"
Furan,110-00-9,7.3E+01,n,1.0E+03,n,        ,,        ,,1.9E+01,n,,7.3E-03,n,        
"Heptachlorobiphenyl, 2,3,3',4,4',5,5'- (PCB 189)",39635-31-9,1.3E-01,c*,5.2E-01,c*,2.5E-03,c,1.1E-02,c,4.0E-03,c,,2.8E-03,c,        
"Hexachlorobiphenyl, 2,3,3',4,4',5- (PCB 156)",38380-08-4,1.2E-01,c*,5.0E-01,c*,2.5E-03,c,1.1E-02,c,4.0E-03,c,,1.7E-03,c,        
"Hexachlorobiphenyl, 2,3,3',4,4',5'- (PCB 157)",69782-90-7,1.2E-01,c*,5.0E-01,c*,2.5E-03,c,1.1E-02,c,4.0E-03,c,,1.7E-03,c,        
"Hexachlorobiphenyl, 2,3',4,4',5,5'- (PCB 167)",52663-72-6,1.2E-01,c*,5.1E-01,c*,2.5E-03,c,1.1E-02,c,4.0E-03,c,,1.7E-03,c,        
"Hexachlorobiphenyl, 3,3',4,4',5,5'- (PCB 169)",32774-16-6,1.2E-04,c*,5.1E-04,c*,2.5E-06,c,1.1E-05,c,4.0E-06,c,,1.7E-06,c,        
"Hexachlorodibenzo-p-dioxin, Mixture",,1.0E-04,c,4.7E-04,c,2.2E-06,c,9.4E-06,c,1.3E-05,c,,1.7E-05,c,        
Hydrogen Cyanide,74-90-8,2.3E+01,n,1.5E+02,n,8.3E-01,n,3.5E+00,n,1.5E+00,n,,1.5E-02,n,        
"Indeno[1,2,3-cd]pyrene",193-39-5,1.1E+00,c,2.1E+01,c,1.7E-02,c,2.0E-01,c,2.5E-01,c,,9.8E-01,c,        
Lead acetate,301-04-2,6.4E+01,c,2.7E+02,c,2.3E-01,c,1.0E+00,c,9.2E+00,c,,1.8E-03,c,        
Lead and Compounds,7439-92-1,4.0E+02,L,8.0E+02,L,1.5E-01,L,        ,,1.5E+01,L,1.5E+01,        ,L,1.4E+01
Lead Phosphate,7446-27-7,8.2E+01,c,3.8E+02,c,2.3E-01,c,1.0E+00,c,9.1E+00,c,,        ,c,        
Lead subacetate,1335-32-6,6.4E+01,c,2.7E+02,c,2.3E-01,c,1.0E+00,c,9.2E+00,c,,2.0E-03,c,        
Lithium Perchlorate,7791-03-9,5.5E+01,n,8.2E+02,n,        ,,        ,,1.4E+01,n,,        ,n,        
