Analyte,CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)"
Benzyl Chloride,100-44-7,1.1E+00,c*,4.8E+00,c*,5.7E-02,c*,2.5E-01,c*,8.9E-02,c*,,9.8E-05,c*,        
Beryllium and compounds,7440-41-7,1.6E+02,n,2.3E+03,n,1.2E-03,c*,5.1E-03,c*,2.5E+01,n,4.0E+00,1.9E+01,n,3.2E+00
Bifenox,42576-02-3,5.7E+02,n,7.4E+03,n,        ,,        ,,1.0E+02,n,,7.6E-01,n,        
Biphenthrin,82657-04-3,9.5E+02,n,1.2E+04,n,        ,,        ,,3.0E+02,n,,1.4E+03,n,        
"Biphenyl, 1,1'-",92-52-4,4.7E+01,n,2.0E+02,n,4.2E-01,n,1.8E+00,n,8.3E-01,n,,8.7E-03,n,        
Bis(2-chloro-1-methylethyl) ether,108-60-1,3.1E+03,ns,4.7E+04,ns,        ,,        ,,7.1E+02,n,,2.6E-01,n,        
Bis(2-chloroethoxy)methane,111-91-1,1.9E+02,n,2.5E+03,n,        ,,        ,,5.9E+01,n,,1.3E-02,n,        
Bis(2-chloroethyl)ether,111-44-4,2.3E-01,c,1.0E+00,c,8.5E-03,c,3.7E-02,c,1.4E-02,c,,3.6E-06,c,        
Bis(chloromethyl)ether,542-88-1,8.3E-05,c,3.6E-04,c,4.5E-05,c,2.0E-04,c,7.2E-05,c,,1.7E-08,c,        
Bisphenol A,80-05-7,3.2E+03,n,4.1E+04,n,        ,,        ,,7.7E+02,n,,5.8E+01,n,        
Boron And Borates Only,7440-42-8,1.6E+04,n,2.3E+05,nm,2.1E+01,n,8.8E+01,n,4.0E+03,n,,1.3E+01,n,        
Boron Trichloride,10294-34-5,1.6E+05,nm,2.3E+06,nm,2.1E+01,n,8.8E+01,n,4.2E+01,n,,        ,n,        
Boron Trifluoride,7637-07-2,3.1E+03,n,4.7E+04,n,1.4E+01,n,5.7E+01,n,2.6E+01,n,,        ,n,        
Bromate,15541-45-4,9.9E-01,c,4.7E+00,c,        ,,        ,,1.1E-01,c,1.0E+01,8.5E-04,c,7.7E-02
"Bromo-2-chloroethane, 1-",107-04-0,2.6E-02,c,1.1E-01,c,4.7E-03,c,2.0E-02,c,7.4E-03,c,,2.1E-06,c,        
"Bromo-3-fluorobenzene, 1-",1073-06-9,2.3E+01,n,3.5E+02,n,        ,,        ,,4.9E+00,n,,4.7E-03,n,        
"Bromo-4-fluorobenzene, 1-",460-00-4,2.3E+01,n,3.5E+02,ns,        ,,        ,,4.6E+00,n,,4.4E-03,n,        
Bromobenzene,108-86-1,2.9E+02,n,1.8E+03,ns,6.3E+01,n,2.6E+02,n,6.2E+01,n,,4.2E-02,n,        
Bromochloromethane,74-97-5,1.5E+02,n,6.3E+02,n,4.2E+01,n,1.8E+02,n,8.3E+01,n,,2.1E-02,n,        
Bromodichloromethane,75-27-4,2.9E-01,c,1.3E+00,c,7.6E-02,c,3.3E-01,c,1.3E-01,c,8.0E+01(F),3.6E-05,c,2.2E-02
Bromoform,75-25-2,1.9E+01,c*,8.6E+01,c,2.6E+00,c,1.1E+01,c,3.3E+00,c,8.0E+01(F),8.7E-04,c,2.1E-02
Bromomethane,74-83-9,6.8E+00,n,3.0E+01,n,5.2E+00,n,2.2E+01,n,7.5E+00,n,,1.9E-03,n,        
Bromophos,2104-96-3,3.9E+02,n,5.8E+03,n,        ,,        ,,3.5E+01,n,,1.5E-01,n,        
"Bromopropane, 1-",106-94-5,2.2E+02,n,9.4E+02,n,1.0E+02,n,4.4E+02,n,2.1E+02,n,,6.4E-02,n,        
Bromoxynil,1689-84-5,5.3E+00,c,2.2E+01,c,        ,,        ,,6.1E-01,c,,5.2E-04,c,        
Bromoxynil Octanoate,1689-99-2,6.7E+00,c,3.2E+01,c,        ,,        ,,2.4E-01,c,,2.1E-03,c,        
"Butadiene, 1,3-",106-99-0,5.8E-02,c*,2.6E-01,c*,9.4E-02,c*,4.1E-01,c*,1.8E-02,c,,9.9E-06,c,        
"Butanoic acid, 4-(2,4-dichlorophenoxy)-",94-82-6,1.9E+03,n,2.5E+04,n,        ,,        ,,4.5E+02,n,,4.2E-01,n,        
"Butanol, N-",71-36-3,7.8E+03,ns,1.2E+05,nms,        ,,        ,,2.0E+03,n,,4.1E-01,n,        
"Butyl alcohol, sec-",78-92-2,1.3E+05,nms,1.5E+06,nms,3.1E+04,n,1.3E+05,n,2.4E+04,n,,5.0E+00,n,        
Butylate,2008-41-5,3.9E+03,n,5.8E+04,n,        ,,        ,,4.6E+02,n,,4.5E-01,n,        
Butylated hydroxyanisole,25013-16-5,2.7E+03,c,1.1E+04,c,4.9E+01,c,2.2E+02,c,1.5E+02,c,,2.9E-01,c,        
Butylated hydroxytoluene,128-37-0,1.5E+02,c,6.4E+02,c,        ,,        ,,3.4E+00,c,,1.0E-01,c,        
"Butylbenzene, n-",104-51-8,3.9E+03,ns,5.8E+04,ns,        ,,        ,,1.0E+03,n,,3.2E+00,n,        
"Butylbenzene, sec-",135-98-8,7.8E+03,ns,1.2E+05,nms,        ,,        ,,2.0E+03,n,,5.9E+00,n,        
"Butylbenzene, tert-",98-06-6,7.8E+03,ns,1.2E+05,nms,        ,,        ,,6.9E+02,n,,1.6E+00,n,        
Cacodylic Acid,75-60-5,1.3E+03,n,1.6E+04,n,        ,,        ,,4.0E+02,n,,1.1E-01,n,        
Cadmium (Diet),7440-43-9,7.1E+01,n,9.8E+02,n,        ,,        ,,        ,,,        ,,        
Cadmium (Water),7440-43-9,        ,,        ,,1.6E-03,c**,6.8E-03,c**,9.2E+00,n,5.0E+00,6.9E-01,n,3.8E-01
Caprolactam,105-60-2,3.1E+04,n,4.0E+05,nm,2.3E+00,n,9.6E+00,n,9.9E+03,n,,2.5E+00,n,        
Captafol,2425-06-1,3.6E+00,c*,1.5E+01,c,6.5E-02,c,2.9E-01,c,4.0E-01,c*,,7.1E-04,c*,        
Captan,133-06-2,2.4E+02,c*,1.0E+03,c,4.3E+00,c,1.9E+01,c,3.1E+01,c*,,2.2E-02,c*,        
Carbaryl,63-25-2,6.3E+03,n,8.2E+04,n,        ,,        ,,1.8E+03,n,,1.7E+00,n,        
Carbofuran,1563-66-2,3.2E+02,n,4.1E+03,n,        ,,        ,,9.4E+01,n,4.0E+01,3.7E-02,n,1.6E-02
Carbon Disulfide,75-15-0,7.7E+02,ns,3.5E+03,ns,7.3E+02,n,3.1E+03,n,8.1E+02,n,,2.4E-01,n,        
Carbon Tetrachloride,56-23-5,6.5E-01,c,2.9E+00,c,4.7E-01,c,2.0E+00,c,4.6E-01,c,5.0E+00,1.8E-04,c,1.9E-03
Carbonyl Sulfide,463-58-1,6.7E+01,n,2.8E+02,n,1.0E+02,n,4.4E+02,n,2.1E+02,n,,5.1E-01,n,        
Carbosulfan,55285-14-8,6.3E+02,n,8.2E+03,n,        ,,        ,,5.1E+01,n,,1.2E+00,n,        
Carboxin,5234-68-4,6.3E+03,n,8.2E+04,n,        ,,        ,,1.9E+03,n,,1.0E+00,n,        
Ceric oxide,1306-38-3,1.3E+06,nm,5.4E+06,nm,9.4E-01,n,3.9E+00,n,        ,,,        ,,        
Chloral Hydrate,302-17-0,7.8E+03,n,1.2E+05,nm,        ,,        ,,2.0E+03,n,,4.0E-01,n,        
Chloramben,133-90-4,9.5E+02,n,1.2E+04,n,        ,,        ,,2.9E+02,n,,7.0E-02,n,        
Chloranil,118-75-2,1.3E+00,c,5.7E+00,c,        ,,        ,,1.8E-01,c,,1.5E-04,c,        
Chlordane,12789-03-6,1.7E+00,c*,7.7E+00,c*,2.8E-02,c*,1.2E-01,c*,2.0E-02,c*,2.0E+00,2.7E-03,c*,2.7E-01
Chlordecone (Kepone),143-50-0,5.4E-02,c,2.3E-01,c,6.1E-04,c,2.7E-03,c,3.5E-03,c,,1.2E-04,c,        
Chlorfenvinphos,470-90-6,4.4E+01,n,5.7E+02,n,        ,,        ,,1.1E+01,n,,3.1E-02,n,        
"Chlorimuron, Ethyl-",90982-32-4,5.7E+03,n,7.4E+04,n,        ,,        ,,1.8E+03,n,,6.0E-01,n,        
Chlorine,7782-50-5,1.8E-01,n,7.8E-01,n,1.5E-01,n,6.4E-01,n,3.0E-01,n,,1.4E-04,n,        
Chlorine Dioxide,10049-04-4,2.3E+03,n,3.4E+04,n,2.1E-01,n,8.8E-01,n,4.2E-01,n,,        ,n,        
Chlorite (Sodium Salt),7758-19-2,2.3E+03,n,3.5E+04,n,        ,,        ,,6.0E+02,n,1.0E+03,        ,n,        
"Chloro-1,1-difluoroethane, 1-",75-68-3,5.4E+04,ns,2.3E+05,nms,5.2E+04,n,2.2E+05,n,1.0E+05,n,,5.2E+01,n,        
"Chloro-1,3-butadiene, 2-",126-99-8,1.0E-02,c,4.4E-02,c,9.4E-03,c,4.1E-02,c,1.9E-02,c,,9.8E-06,c,        
"Chloro-2-methylaniline HCl, 4-",3165-93-3,1.2E+00,c,5.0E+00,c,        ,,        ,,1.7E-01,c,,1.5E-04,c,        
"Chloro-2-methylaniline, 4-",95-69-2,5.4E+00,c*,2.3E+01,c,3.6E-02,c,1.6E-01,c,7.0E-01,c*,,4.0E-04,c*,        
"Chloroacetaldehyde, 2-",107-20-0,2.6E+00,c,1.2E+01,c,        ,,        ,,2.9E-01,c,,5.8E-05,c,        
Chloroacetic Acid,79-11-8,        ,,        ,,        ,,        ,,        ,,6.0E+01,        ,,1.2E-02
"Chloroacetophenone, 2-",532-27-4,4.3E+04,n,1.8E+05,nm,3.1E-02,n,1.3E-01,n,        ,,,        ,,        
"Chloroaniline, p-",106-47-8,2.7E+00,c*,1.1E+01,c,        ,,        ,,3.7E-01,c,,1.6E-04,c,        
Chlorobenzene,108-90-7,2.8E+02,n,1.3E+03,ns,5.2E+01,n,2.2E+02,n,7.8E+01,n,1.0E+02,5.3E-02,n,6.8E-02
"Chlorobenzene sulfonic acid, p-",98-66-8,6.3E+03,n,8.2E+04,n,        ,,        ,,2.0E+03,n,,4.7E-01,n,        
Chlorobenzilate,510-15-6,4.9E+00,c,2.1E+01,c,9.1E-02,c,4.0E-01,c,3.1E-01,c,,1.0E-03,c,        
"Chlorobenzoic Acid, p-",74-11-3,1.9E+03,n,2.5E+04,n,        ,,        ,,5.1E+02,n,,1.3E-01,n,        
"Chlorobenzotrifluoride, 4-",98-56-6,2.1E+02,n,2.5E+03,ns,3.1E+02,n,1.3E+03,n,3.5E+01,n,,1.2E-01,n,        
"Chlorobutane, 1-",109-69-3,3.1E+03,ns,4.7E+04,ns,        ,,        ,,6.4E+02,n,,2.6E-01,n,        
Chlorodifluoromethane,75-45-6,4.9E+04,ns,2.1E+05,nms,5.2E+04,n,2.2E+05,n,1.0E+05,n,,4.3E+01,n,        
"Chloroethanol, 2-",107-07-3,1.6E+03,n,2.3E+04,n,        ,,        ,,4.0E+02,n,,8.1E-02,n,        
Chloroform,67-66-3,3.2E-01,c,1.4E+00,c,1.2E-01,c,5.3E-01,c,2.2E-01,c,8.0E+01(F),6.1E-05,c,2.2E-02
Chloromethane,74-87-3,1.1E+02,n,4.6E+02,n,9.4E+01,n,3.9E+02,n,1.9E+02,n,,4.9E-02,n,        
Chloromethyl Methyl Ether,107-30-2,2.0E-02,c,8.9E-02,c,4.1E-03,c,1.8E-02,c,6.5E-03,c,,1.4E-06,c,        
"Chloronitrobenzene, o-",88-73-3,1.8E+00,c,7.7E+00,c,1.0E-02,n,4.4E-02,n,2.4E-01,c,,2.2E-04,c,        
"Chloronitrobenzene, p-",100-00-5,9.0E+00,c**,3.8E+01,c*,2.1E+00,n,8.8E+00,n,1.2E+00,c*,,1.1E-03,c*,        
"Chlorophenol, 2-",95-57-8,3.9E+02,n,5.8E+03,n,        ,,        ,,9.1E+01,n,,8.9E-02,n,        
Chloropicrin,76-06-2,2.0E+00,n,8.2E+00,n,4.2E-01,n,1.8E+00,n,8.3E-01,n,,2.5E-04,n,        
Chlorothalonil,1897-45-6,1.8E+02,c**,7.4E+02,c*,3.2E+00,c,1.4E+01,c,2.2E+01,c*,,5.0E-02,c*,        
"Chlorotoluene, o-",95-49-8,1.6E+03,ns,2.3E+04,ns,        ,,        ,,2.4E+02,n,,2.3E-01,n,        
"Chlorotoluene, p-",106-43-4,1.6E+03,ns,2.3E+04,ns,        ,,        ,,2.5E+02,n,,2.4E-01,n,        
Chlorozotocin,54749-90-5,2.3E-03,c,9.6E-03,c,4.1E-05,c,1.8E-04,c,3.2E-04,c,,7.1E-08,c,        
Chlorpropham,101-21-3,3.2E+03,n,4.1E+04,n,        ,,        ,,7.1E+02,n,,6.4E-01,n,        
Chlorpyrifos,2921-88-2,6.3E+01,n,8.2E+02,n,        ,,        ,,8.4E+00,n,,1.2E-01,n,        
Chlorpyrifos Methyl,5598-13-0,6.3E+02,n,8.2E+03,n,        ,,        ,,1.2E+02,n,,5.4E-01,n,        
Chlorsulfuron,64902-72-3,3.2E+03,n,4.1E+04,n,        ,,        ,,9.9E+02,n,,8.3E-01,n,        
Chlorthal-dimethyl,1861-32-1,6.3E+02,n,8.2E+03,n,        ,,        ,,1.2E+02,n,,1.5E-01,n,        
Chlorthiophos,60238-56-4,5.1E+01,n,6.6E+02,n,        ,,        ,,2.8E+00,n,,7.3E-02,n,        
"Chromium(III), Insoluble Salts",16065-83-1,1.2E+05,nm,1.8E+06,nm,        ,,        ,,2.2E+04,n,,4.0E+07,n,        
Chromium(VI),18540-29-9,3.0E-01,c,6.3E+00,c,1.2E-05,c,1.5E-04,c,3.5E-02,c,,6.7E-04,c,        
"Chromium, Total",7440-47-3,        ,,        ,,        ,,        ,,        ,,1.0E+02,        ,,1.8E+05
Clofentezine,74115-24-5,8.2E+02,n,1.1E+04,n,        ,,        ,,2.3E+02,n,,1.4E+01,n,        
Cobalt,7440-48-4,2.3E+01,n,3.5E+02,n,3.1E-04,c*,1.4E-03,c*,6.0E+00,n,,2.7E-01,n,        
Coke Oven Emissions,8007-45-2,        ,,        ,,1.6E-03,c,2.0E-02,c,        ,,,        ,,        
Copper,7440-50-8,3.1E+03,n,4.7E+04,n,        ,,        ,,8.0E+02,n,1.3E+03,2.8E+01,n,4.6E+01
"Cresol, m-",108-39-4,3.2E+03,n,4.1E+04,n,6.3E+02,n,2.6E+03,n,9.3E+02,n,,7.4E-01,n,        
"Cresol, o-",95-48-7,3.2E+03,n,4.1E+04,n,6.3E+02,n,2.6E+03,n,9.3E+02,n,,7.5E-01,n,        
"Cresol, p-",106-44-5,6.3E+03,n,8.2E+04,n,6.3E+02,n,2.6E+03,n,1.9E+03,n,,1.5E+00,n,        
"Cresol, p-chloro-m-",59-50-7,6.3E+03,n,8.2E+04,n,        ,,        ,,1.4E+03,n,,1.7E+00,n,        
Cresols,1319-77-3,6.3E+03,n,8.2E+04,n,6.3E+02,n,2.6E+03,n,1.5E+03,n,,1.3E+00,n,        
"Crotonaldehyde, trans-",123-73-9,3.7E-01,c,1.7E+00,c,        ,,        ,,4.0E-02,c,,8.2E-06,c,        
Cumene,98-82-8,1.9E+03,ns,9.9E+03,ns,4.2E+02,n,1.8E+03,n,4.5E+02,n,,7.4E-01,n,        
Cupferron,135-20-6,2.5E+00,c,1.0E+01,c,4.5E-02,c,1.9E-01,c,3.5E-01,c,,6.1E-04,c,        
Cyanazine,21725-46-2,6.5E-01,c,2.7E+00,c,        ,,        ,,8.8E-02,c,,4.1E-05,c,        
Cyclohexane,110-82-7,6.5E+03,ns,2.7E+04,ns,6.3E+03,n,2.6E+04,n,1.3E+04,n,,1.3E+01,n,        
"Cyclohexane, 1,2,3,4,5-pentabromo-6-chloro-",87-84-3,2.7E+01,c*,1.1E+02,c,        ,,        ,,2.8E+00,c,,1.6E-02,c,        
Cyclohexanone,108-94-1,2.8E+04,ns,1.3E+05,nms,7.3E+02,n,3.1E+03,n,1.4E+03,n,,3.4E-01,n,        
Cyclohexene,110-83-8,3.1E+02,ns,3.1E+03,ns,1.0E+03,n,4.4E+03,n,7.0E+01,n,,4.6E-02,n,        
Cyclohexylamine,108-91-8,1.6E+04,n,2.3E+05,nm,        ,,        ,,3.8E+03,n,,1.0E+00,n,        
Cyfluthrin,68359-37-5,1.6E+03,n,2.1E+04,n,        ,,        ,,1.2E+02,n,,3.1E+01,n,        
Cyhalothrin,68085-85-8,6.3E+01,n,8.2E+02,n,        ,,        ,,2.0E+01,n,,1.4E+01,n,        
Cyromazine,66215-27-8,3.2E+04,n,4.1E+05,nm,        ,,        ,,9.9E+03,n,,2.5E+00,n,        
Dalapon,75-99-0,1.9E+03,n,2.5E+04,n,        ,,        ,,6.0E+02,n,2.0E+02,1.2E-01,n,4.1E-02
Daminozide,1596-84-5,3.0E+01,c,1.3E+02,c,5.5E-01,c,2.4E+00,c,4.3E+00,c,,9.5E-04,c,        
"DDD, p,p`- (DDD)",72-54-8,1.9E+00,n,9.6E+00,c**,4.1E-02,c,1.8E-01,c,3.2E-02,c**,,7.5E-03,c**,        
"DDE, p,p'-",72-55-9,2.0E+00,c*,9.3E+00,c*,2.9E-02,c,1.3E-01,c,4.6E-02,c,,1.1E-02,c,        
DDT,50-29-3,1.9E+00,c*,8.5E+00,c*,2.9E-02,c,1.3E-01,c,2.3E-01,c*,,7.7E-02,c*,        
"Decabromodiphenyl ether, 2,2',3,3',4,4',5,5',6,6'- (BDE-209)",1163-19-5,4.4E+02,n,3.3E+03,c**,        ,,        ,,1.1E+02,c**,,6.2E+01,c**,        
Demeton,8065-48-3,2.5E+00,n,3.3E+01,n,        ,,        ,,4.2E-01,n,,        ,n,        
Di(2-ethylhexyl)adipate,103-23-1,4.5E+02,c*,1.9E+03,c,        ,,        ,,6.5E+01,c,4.0E+02,4.7E+00,c,2.9E+01
Diallate,2303-16-4,8.9E+00,c,3.8E+01,c,        ,,        ,,5.4E-01,c,,8.0E-04,c,        
Diazinon,333-41-5,4.4E+01,n,5.7E+02,n,        ,,        ,,1.0E+01,n,,6.5E-02,n,        
Dibenzothiophene,132-65-0,7.8E+02,n,1.2E+04,n,        ,,        ,,6.5E+01,n,,1.2E+00,n,        
"Dibromo-3-chloropropane, 1,2-",96-12-8,5.3E-03,c,6.4E-02,c,1.7E-04,c,2.0E-03,c,3.3E-04,c,2.0E-01,1.4E-07,c,8.6E-05
"Dibromobenzene, 1,3-",108-36-1,3.1E+01,n,4.7E+02,ns,        ,,        ,,5.3E+00,n,,5.1E-03,n,        
"Dibromobenzene, 1,4-",106-37-6,7.8E+02,n,1.2E+04,n,        ,,        ,,1.3E+02,n,,1.2E-01,n,        
Dibromochloromethane,124-48-1,8.3E+00,c,3.9E+01,c,        ,,        ,,8.7E-01,c,8.0E+01(F),2.3E-04,c,2.1E-02
"Dibromoethane, 1,2-",106-93-4,3.6E-02,c,1.6E-01,c,4.7E-03,c,2.0E-02,c,7.5E-03,c,5.0E-02,2.1E-06,c,1.4E-05
Dibromomethane (Methylene Bromide),74-95-3,2.4E+01,n,9.9E+01,n,4.2E+00,n,1.8E+01,n,8.3E+00,n,,2.1E-03,n,        
Dibutyltin Compounds,E1790660,1.9E+01,n,2.5E+02,n,        ,,        ,,6.0E+00,n,,        ,n,        
Dicamba,1918-00-9,1.9E+03,n,2.5E+04,n,        ,,        ,,5.7E+02,n,,1.5E-01,n,        
"Dichloro-2-butene, 1,4-",764-41-0,2.1E-03,c,9.4E-03,c,6.7E-04,c,2.9E-03,c,1.3E-03,c,,6.6E-07,c,        
"Dichloro-2-butene, cis-1,4-",1476-11-5,7.4E-03,c,3.2E-02,c,6.7E-04,c,2.9E-03,c,1.3E-03,c,,6.2E-07,c,        
"Dichloro-2-butene, trans-1,4-",110-57-6,7.4E-03,c,3.2E-02,c,6.7E-04,c,2.9E-03,c,1.3E-03,c,,6.2E-07,c,        
Dichloroacetic Acid,79-43-6,1.1E+01,c*,4.6E+01,c*,        ,,        ,,1.5E+00,c*,6.0E+01,3.1E-04,c*,1.2E-02
"Dichlorobenzene, 1,2-",95-50-1,1.8E+03,ns,9.3E+03,ns,2.1E+02,n,8.8E+02,n,3.0E+02,n,6.0E+02,3.0E-01,n,5.8E-01
"Dichlorobenzene, 1,4-",106-46-7,2.6E+00,c,1.1E+01,c,2.6E-01,c,1.1E+00,c,4.8E-01,c,7.5E+01,4.6E-04,c,7.2E-02
"Dichlorobenzidine, 3,3'-",91-94-1,1.2E+00,c,5.1E+00,c,8.3E-03,c,3.6E-02,c,1.3E-01,c,,8.2E-04,c,        
"Dichlorobenzophenone, 4,4'-",90-98-2,5.7E+02,n,7.4E+03,n,        ,,        ,,7.8E+01,n,,4.7E-01,n,        
Dichlorodifluoromethane,75-71-8,8.7E+01,n,3.7E+02,n,1.0E+02,n,4.4E+02,n,2.0E+02,n,,3.0E-01,n,        
"Dichloroethane, 1,1-",75-34-3,3.6E+00,c,1.6E+01,c,1.8E+00,c,7.7E+00,c,2.8E+00,c,,7.8E-04,c,        
"Dichloroethane, 1,2-",107-06-2,4.6E-01,c*,2.0E+00,c*,1.1E-01,c*,4.7E-01,c*,1.7E-01,c*,5.0E+00,4.8E-05,c*,1.4E-03
"Dichloroethylene, 1,1-",75-35-4,2.3E+02,n,1.0E+03,n,2.1E+02,n,8.8E+02,n,2.8E+02,n,7.0E+00,1.0E-01,n,2.5E-03
"Dichloroethylene, 1,2-cis-",156-59-2,1.6E+02,n,2.3E+03,n,        ,,        ,,3.6E+01,n,7.0E+01,1.1E-02,n,2.1E-02
"Dichloroethylene, 1,2-trans-",156-60-5,1.6E+03,n,2.3E+04,ns,        ,,        ,,3.6E+02,n,1.0E+02,1.1E-01,n,3.1E-02
"Dichlorophenol, 2,4-",120-83-2,1.9E+02,n,2.5E+03,n,        ,,        ,,4.6E+01,n,,2.3E-02,n,        
"Dichlorophenoxy Acetic Acid, 2,4-",94-75-7,7.0E+02,n,9.6E+03,n,        ,,        ,,1.7E+02,n,7.0E+01,4.5E-02,n,1.8E-02
"Dichloropropane, 1,2-",78-87-5,2.5E+00,c**,1.1E+01,c**,7.6E-01,c**,3.3E+00,c**,8.5E-01,c**,5.0E+00,2.8E-04,c**,1.7E-03
"Dichloropropane, 1,3-",142-28-9,1.6E+03,ns,2.3E+04,ns,        ,,        ,,3.7E+02,n,,1.3E-01,n,        
"Dichloropropanol, 2,3-",616-23-9,1.9E+02,n,2.5E+03,n,        ,,        ,,5.9E+01,n,,1.3E-02,n,        
"Dichloropropene, 1,3-",542-75-6,1.8E+00,c*,8.2E+00,c*,7.0E-01,c*,3.1E+00,c*,4.7E-01,c*,,1.7E-04,c*,        
Dichlorvos,62-73-7,1.9E+00,c*,7.9E+00,c*,3.4E-02,c*,1.5E-01,c*,2.6E-01,c*,,8.1E-05,c*,        
Dicrotophos,141-66-2,1.9E+00,n,2.5E+01,n,        ,,        ,,6.0E-01,n,,1.4E-04,n,        
Dicyclopentadiene,77-73-6,1.3E+00,n,5.4E+00,n,3.1E-01,n,1.3E+00,n,6.3E-01,n,,2.2E-03,n,        
Dieldrin,60-57-1,3.4E-02,c*,1.4E-01,c,6.1E-04,c,2.7E-03,c,1.8E-03,c,,7.1E-05,c,        
Diesel Engine Exhaust,E17136615,        ,,        ,,9.4E-03,c,4.1E-02,c,        ,,,        ,,        
Diethanolamine,111-42-2,1.3E+02,n,1.6E+03,n,2.1E-01,n,8.8E-01,n,4.0E+01,n,,8.1E-03,n,        
Diethylene Glycol Monobutyl Ether,112-34-5,1.9E+03,n,2.4E+04,n,1.0E-01,n,4.4E-01,n,6.0E+02,n,,1.3E-01,n,        
Diethylene Glycol Monoethyl Ether,111-90-0,3.8E+03,n,4.8E+04,n,3.1E-01,n,1.3E+00,n,1.2E+03,n,,2.4E-01,n,        
Diethylformamide,617-84-5,7.8E+01,n,1.2E+03,n,        ,,        ,,2.0E+01,n,,4.1E-03,n,        
Diethylstilbestrol,56-53-1,1.6E-03,c,6.6E-03,c,2.8E-05,c,1.2E-04,c,5.1E-05,c,,2.8E-05,c,        
Difenzoquat,43222-48-6,5.2E+03,n,6.8E+04,n,        ,,        ,,1.7E+03,n,,2.6E+02,n,        
Diflubenzuron,35367-38-5,1.3E+03,n,1.6E+04,n,        ,,        ,,2.9E+02,n,,3.3E-01,n,        
"Difluoroethane, 1,1-",75-37-6,4.8E+04,ns,2.0E+05,nms,4.2E+04,n,1.8E+05,n,8.3E+04,n,,2.8E+01,n,        
"Difluoropropane, 2,2-",420-45-1,2.4E+04,ns,1.0E+05,ns,3.1E+04,n,1.3E+05,n,6.3E+04,n,,1.4E+02,n,        
Dihydrosafrole,94-58-6,9.9E+00,c,4.5E+01,c,2.2E-01,c,9.4E-01,c,3.0E-01,c,,1.9E-04,c,        
Diisopropyl Ether,108-20-3,2.2E+03,n,9.4E+03,ns,7.3E+02,n,3.1E+03,n,1.5E+03,n,,3.7E-01,n,        
Diisopropyl Methylphosphonate,1445-75-6,6.3E+03,ns,9.3E+04,ns,        ,,        ,,1.6E+03,n,,4.5E-01,n,        
Dimethipin,55290-64-7,1.4E+03,n,1.8E+04,n,        ,,        ,,4.4E+02,n,,9.6E-02,n,        
Dimethoate,60-51-5,1.4E+02,n,1.8E+03,n,        ,,        ,,4.4E+01,n,,9.9E-03,n,        
"Dimethoxybenzidine, 3,3'-",119-90-4,3.4E-01,c,1.4E+00,c,        ,,        ,,4.7E-02,c,,5.8E-05,c,        
Dimethyl methylphosphonate,756-79-6,3.2E+02,c*,1.4E+03,c*,        ,,        ,,4.6E+01,c*,,9.6E-03,c*,        
Dimethylamino azobenzene [p-],60-11-7,1.2E-01,c,5.0E-01,c,2.2E-03,c,9.4E-03,c,5.0E-03,c,,2.1E-05,c,        
"Dimethylaniline HCl, 2,4-",21436-96-4,9.4E-01,c,4.0E+00,c,        ,,        ,,1.3E-01,c,,1.2E-04,c,        
"Dimethylaniline, 2,4-",95-68-1,2.7E+00,c*,1.1E+01,c,        ,,        ,,3.7E-01,c,,2.1E-04,c,        
"Dimethylaniline, N,N-",121-69-7,2.6E+01,c**,1.2E+02,c*,        ,,        ,,2.5E+00,c*,,9.0E-04,c*,        
"Dimethylbenzidine, 3,3'-",119-93-7,4.9E-02,c,2.1E-01,c,        ,,        ,,6.5E-03,c,,4.3E-05,c,        
Dimethylformamide,68-12-2,2.6E+03,n,1.5E+04,n,3.1E+01,n,1.3E+02,n,6.1E+01,n,,1.2E-02,n,        
"Dimethylhydrazine, 1,1-",57-14-7,5.7E-02,n,2.4E-01,n,2.1E-03,n,8.8E-03,n,4.2E-03,n,,9.3E-07,n,        
"Dimethylhydrazine, 1,2-",540-73-8,8.8E-04,c,4.1E-03,c,1.8E-05,c,7.7E-05,c,2.8E-05,c,,6.5E-09,c,        
"Dimethylphenol, 2,4-",105-67-9,1.3E+03,n,1.6E+04,n,        ,,        ,,3.6E+02,n,,4.2E-01,n,        
"Dimethylphenol, 2,6-",576-26-1,3.8E+01,n,4.9E+02,n,        ,,        ,,1.1E+01,n,,1.3E-02,n,        
"Dimethylphenol, 3,4-",95-65-8,6.3E+01,n,8.2E+02,n,        ,,        ,,1.8E+01,n,,2.1E-02,n,        
Dimethylvinylchloride,513-37-1,1.1E+00,c,4.8E+00,c,2.2E-01,c,9.4E-01,c,3.3E-01,c,,1.1E-04,c,        
"Dinitrobenzene, 1,2-",528-29-0,6.3E+00,n,8.2E+01,n,        ,,        ,,1.9E+00,n,,1.8E-03,n,        
"Dinitrobenzene, 1,3-",99-65-0,6.3E+00,n,8.2E+01,n,        ,,        ,,2.0E+00,n,,1.8E-03,n,        
